timestamp,accGGx,accGGy,accGGz
1698920768.388,0.55,0.828,-0.242
1698920768.468,0.727,0.824,-0.182
1698920768.548,0.717,0.796,-0.192
1698920768.628,0.623,0.755,-0.263
1698920768.708,0.583,0.773,-0.306
1698920768.788,0.589,0.792,-0.314
1698920768.868,0.598,0.782,-0.313
1698920768.948,0.593,0.773,-0.314
1698920769.028,0.587,0.78,-0.305
1698920769.108,0.575,0.77,-0.303
1698920769.188,0.571,0.762,-0.309
1698920769.269,0.574,0.774,-0.313
1698920769.348,0.585,0.768,-0.313
1698920769.431,0.602,0.768,-0.304
1698920769.508,0.608,0.771,-0.298
1698920769.588,0.596,0.776,-0.289
1698920769.668,0.587,0.781,-0.283
