ms,x,y,z
1698920064518.0,12,805,464
1698920064598.0,11,809,476
1698920064678.0,11,810,467
1698920064758.0,8,810,478
1698920064840.0,6,801,466
1698920064918.0,10,802,478
1698920065000.0,11,809,466
1698920065078.0,6,812,483
1698920065158.0,15,801,463
1698920065238.0,23,795,481
1698920065318.0,28,814,470
1698920065398.0,17,800,472
1698920065478.0,21,806,466
1698920065558.0,17,800,479
1698920065641.0,17,806,474
1698920065718.0,12,804,465
1698920065798.0,22,808,460
1698920065878.0,19,801,472
1698920065958.0,15,810,474
1698920066041.0,17,802,466
1698920066118.0,5,797,460
1698920066198.0,18,799,468
1698920066278.0,19,823,475
1698920066357.0,19,789,476
1698920066437.0,16,817,469
1698920066519.0,4,808,467
1698920066597.0,19,802,472
1698920066680.0,22,802,467
1698920066758.0,15,802,466
1698920066837.0,10,808,474
1698920066917.0,20,808,468
1698920066998.0,8,805,473
1698920067077.0,20,808,472
1698920067157.0,10,797,478
1698920067238.0,20,806,478
1698920067317.0,17,803,476
1698920067397.0,15,808,469
1698920067478.0,5,801,462
1698920067559.0,15,816,475
1698920067638.0,16,797,475
1698920067720.0,19,804,469
1698920067797.0,13,814,471
1698920067877.0,8,796,471
1698920067957.0,10,792,473
1698920068037.0,16,804,477
1698920068117.0,10,804,469
1698920068198.0,17,811,473
1698920068277.0,12,797,470
1698920068360.0,21,798,476
1698920068437.0,27,802,471
1698920068517.0,13,797,470
1698920068597.0,16,806,477
1698920068677.0,16,803,465
1698920068760.0,7,807,478
1698920068837.0,14,810,464
1698920068917.0,21,809,463
1698920068997.0,11,807,470
1698920069077.0,10,807,471
1698920069157.0,5,806,471
1698920069238.0,11,802,461
1698920069317.0,10,800,475
1698920069400.0,5,806,472
1698920069477.0,14,802,466
1698920069557.0,7,797,467
1698920069638.0,7,804,483
1698920069717.0,0,812,473
1698920069797.0,19,804,474
1698920069877.0,11,802,477
1698920069957.0,-1,813,472
1698920070037.0,-11,805,453
1698920070117.0,-34,796,476
1698920070197.0,-37,779,481
1698920070279.0,-30,786,472
1698920070357.0,-18,791,474
1698920070439.0,-3,802,466
1698920070517.0,20,820,463
1698920070597.0,62,842,418
1698920070678.0,90,843,383
1698920070757.0,154,821,350
1698920070837.0,214,784,330
1698920070917.0,237,754,344
1698920070997.0,273,754,358
