msFromStart,alpha,beta,gamma,heading,acc
1622,341.5989334252704,-13.780201500146251,-34.8445307130964,136.67869567871094,33.91748809814453
1639,340.43232338249777,-16.281380897561483,-35.7297520137415,136.67869567871094,33.91748809814453
1655,339.26112730713174,-18.616119136858565,-36.59991827846909,137.98577880859375,33.847190856933594
1672,337.6946090113816,-21.59470740532856,-37.63596758934161,137.98577880859375,33.847190856933594
1689,336.5064508360215,-23.642972822808886,-38.33424664726868,137.98577880859375,33.847190856933594
1706,335.33096444726357,-25.35985113236635,-38.96827802389049,137.98577880859375,33.847190856933594
1722,333.68975373955914,-27.43319737255176,-39.88856121134004,139.2388916015625,33.753028869628906
1739,332.3076853734869,-28.884311862943015,-40.654481784722876,139.2388916015625,33.753028869628906
1756,330.75086553184286,-30.14577821007391,-41.465047199045486,140.85459899902344,33.66850662231445
1772,328.37066235274153,-31.72301418932421,-42.72689288374265,142.13021850585938,33.622276306152344
1789,326.4563226435667,-32.86094179956573,-43.771034565559994,143.58334350585938,33.573158264160156
1806,323.8957522637155,-34.26133354418587,-45.166627202289085,143.58334350585938,33.573158264160156
1823,322.06779730322165,-35.16279478884973,-46.10239065871689,145.0459747314453,33.52051544189453
1839,320.3473526723957,-35.958510301864706,-46.946790462447424,146.47103881835938,33.4635009765625
1856,318.26546034943226,-36.76066656967732,-47.90873781812625,147.835205078125,33.40019989013672
1872,316.75608546885354,-37.26124937352044,-48.61006793186499,149.15077209472656,33.32965850830078
1889,315.2491954254355,-37.77361212303151,-49.32251605602429,150.45143127441406,33.25455093383789
1906,313.5343494129681,-38.36273116028348,-49.98645907866824,150.45143127441406,33.25455093383789
1922,312.7062601140466,-38.717341729091686,-50.195009230358615,151.59768676757812,33.17873764038086
1938,312.4303177900189,-38.97550960804713,-50.11915569872072,151.59768676757812,33.17873764038086
1955,312.899298507586,-39.06641840949091,-49.57286118843395,151.59768676757812,33.17873764038086
1971,313.6739087923432,-38.92454206165868,-48.923178859232124,151.59768676757812,33.17873764038086
1988,314.6551930054278,-38.57420121364476,-48.09763880461182,151.59768676757812,33.17873764038086
2005,316.16239592187804,-37.81130319825757,-46.76954539678437,151.59768676757812,33.17873764038086
2022,317.3858925892086,-37.15921615627574,-45.81076763812624,150.5365447998047,32.61037063598633
2038,318.7090199671265,-36.519301761451004,-44.99005603645755,150.5365447998047,32.61037063598633
2054,320.1863484428268,-35.939740737564044,-44.2996621379718,148.6650848388672,32.447349548339844
2071,322.68366179933867,-34.88337819501865,-43.20742873545476,147.11993408203125,32.438011169433594
2087,324.93329382593805,-33.69005118767177,-42.19108265904669,145.28506469726562,32.43301773071289
2104,327.3021365901423,-32.15430317659048,-41.08758920877089,145.28506469726562,32.43301773071289
2121,330.30761981123743,-29.693675678410443,-39.53106056943746,143.4854736328125,32.42988586425781
2138,332.27241861751656,-27.686653211626663,-38.32833168853202,142.0323028564453,32.4276123046875
2155,334.4902770375109,-24.926025771030076,-36.71534776632075,141.0312957763672,32.42576217651367
2172,335.979917279781,-22.79216338600225,-35.56149246481189,141.0312957763672,32.42576217651367
2188,337.9520401833915,-19.79716623091929,-34.23703841152092,139.6307373046875,32.42266082763672
2205,339.4633821726756,-17.413122404778303,-33.39372029358337,139.6307373046875,32.42266082763672
2222,340.96873173568116,-14.922511458137137,-32.687114658867095,139.6307373046875,32.42266082763672
2238,342.9059120697267,-11.548447842539478,-31.921195509570524,137.95663452148438,32.41990280151367
2255,344.26048814599716,-9.03439131581651,-31.442253106193707,137.95663452148438,32.41990280151367
2272,345.4958371459106,-6.603177230170197,-31.06064523754436,136.37379455566406,32.41721725463867
2288,346.9740443664562,-3.5598149324228627,-30.645618219539273,136.37379455566406,32.41721725463867
2305,347.9530050542713,-1.3997612518335494,-30.349774494875053,135.20440673828125,32.414390563964844
2322,348.81478449050945,0.6722466360250889,-29.99612332462363,135.20440673828125,32.414390563964844
2338,349.7472847803588,3.2479068617672833,-29.39672144774393,135.20440673828125,32.414390563964844
2355,350.248619199925,4.978576980953913,-28.86354552338103,135.20440673828125,32.414390563964844
2372,350.55656707438357,6.5027973009349935,-28.26166815780904,135.20440673828125,32.414390563964844
2388,350.6691496415437,8.157130928671076,-27.238625602573304,135.20440673828125,32.414390563964844
2405,350.5725114068686,9.053310467503668,-26.32155249740702,135.20440673828125,32.414390563964844
2422,350.3909780638676,9.655002062148297,-25.404545355658605,135.20440673828125,32.414390563964844
2439,350.0771013352769,9.853227036033557,-24.4928554575367,135.20440673828125,32.414390563964844
2455,349.746921924515,9.756431257619992,-24.07104532903405,135.20440673828125,32.414390563964844
2472,349.2571191976573,9.42505520213173,-23.745354966429375,135.20440673828125,32.414390563964844
2489,348.2694090585269,8.489043125623628,-23.26451223460449,136.79962158203125,32.365962982177734
2506,347.2226899178315,7.346432942378154,-22.817156086730566,136.79962158203125,32.365962982177734
2522,345.9173669253226,5.779742403236162,-22.350410486005405,136.79962158203125,32.365962982177734
2539,343.91276281997773,2.8945682166966717,-21.876076968457554,139.1090850830078,32.36222839355469
2556,342.31138270368456,0.14548134673462906,-21.825163034865962,140.5426788330078,32.36069869995117
2572,340.6999444905679,-2.9396898115163768,-22.183944514506212,141.9392547607422,32.3592529296875
2589,338.7348967085338,-7.146488837793062,-23.282675865229173,143.0983123779297,32.357818603515625
2606,337.47311000593464,-10.093221038527757,-24.414566774275695,143.0983123779297,32.357818603515625
2622,336.4123780689405,-12.743412536734931,-25.661164294052075,143.0983123779297,32.357818603515625
2639,335.2342514505486,-16.008009686382376,-27.40937538275023,144.27999877929688,32.35468673706055
2656,334.3710113947563,-18.53842515367733,-28.780480854249443,144.27999877929688,32.35468673706055
2672,333.3707133286295,-21.290227237736488,-30.27282739733266,144.27999877929688,32.35468673706055
2689,331.72598544124077,-25.276522461779738,-32.724323899725576,144.27999877929688,32.35468673706055
2706,330.3081198687943,-28.267961555129315,-35.04130757331701,144.27999877929688,32.35468673706055
2722,328.8837746167889,-31.015015248272757,-37.53110877467411,144.27999877929688,32.35468673706055
2739,327.1166057163545,-34.1344920017279,-40.59204715862521,144.27999877929688,32.35468673706055
2755,325.79267781851325,-36.06454928948511,-42.44412613373509,144.27999877929688,32.35468673706055
2772,324.2819662563365,-37.72569828605782,-43.873622839029764,144.27999877929688,32.35468673706055
2789,321.753969988456,-39.68696084910559,-45.48839258721709,144.27999877929688,32.35468673706055
2807,319.50869792982644,-41.01551977806226,-46.77094082177333,145.6585235595703,32.32659912109375
2822,317.1571690559583,-42.2066819356973,-48.19550879983091,145.6585235595703,32.32659912109375
2839,314.2551964999886,-43.61557316095549,-50.2548965272428,147.1472625732422,32.3199462890625
2856,312.5573599657788,-44.50345431297404,-51.58038146858366,148.2564697265625,32.31243896484375
2872,311.3602264866708,-45.19000180068816,-52.53690130312849,148.2564697265625,32.31243896484375
2889,310.3961296295368,-45.83547672166131,-53.35149385382608,148.2564697265625,32.31243896484375
2905,310.07080953247623,-46.1114648619331,-53.578783277453105,148.2564697265625,32.31243896484375
2922,310.0457682791527,-46.21245673484268,-53.45322152147334,148.2564697265625,32.31243896484375
2940,310.2618585631202,-46.10844304008731,-53.08594865606308,148.2564697265625,32.31243896484375
2956,310.5010964557384,-45.86877701730216,-52.877285040667836,149.28729248046875,32.268951416015625
2972,310.82713673183173,-45.58707123118333,-52.89176929653644,149.28729248046875,32.268951416015625
2989,311.6627718052827,-45.22337036239385,-53.16347945235634,149.28729248046875,32.268951416015625
3006,312.93252493594673,-44.76969480212119,-53.09032081063752,147.35816955566406,32.23734664916992
3023,314.9642123818992,-43.929082907118534,-52.312278177270194,147.35816955566406,32.23734664916992
3039,318.6966793657163,-42.223635679356335,-50.43984338967874,145.73568725585938,32.22114944458008
3056,321.8880646941338,-40.65723884951766,-49.06475456815473,143.6660919189453,32.187103271484375
3072,325.03503674959876,-38.93691878244298,-48.05723245533298,141.2045440673828,32.09413528442383
3089,328.78618125712205,-36.200226926504115,-47.0893268698119,138.97955322265625,32.08256530761719
3106,331.0896218232512,-33.82733769368546,-46.37649718520524,137.6083221435547,32.076839447021484
3123,332.94000290362965,-31.31349779555625,-45.51641743160111,137.6083221435547,32.076839447021484
3139,335.0163108538501,-27.849190754878613,-44.173929613564184,137.6083221435547,32.076839447021484
3156,336.521130530621,-25.144726449111243,-43.20995997044063,137.6083221435547,32.076839447021484
3173,338.5242407994636,-21.332065947756814,-42.236448101635844,137.6083221435547,32.076839447021484
3189,339.93643661447004,-18.33294127520218,-41.675488703924884,136.60147094726562,32.065879821777344
3206,341.17283392332723,-15.295766114402412,-41.13657558907382,136.60147094726562,32.065879821777344
3222,342.50922601085927,-11.245594825516124,-40.284797490883605,136.60147094726562,32.065879821777344
3238,343.31522802355255,-8.243325737877406,-39.514518010058296,136.60147094726562,32.065879821777344
3256,343.9955137206318,-5.290385395361026,-38.66678265443438,136.60147094726562,32.065879821777344
3272,344.7509543478416,-1.4886631915028843,-37.60279274925036,137.98313903808594,32.059059143066406
3289,345.20550629882,1.1898640116348527,-36.998139717338425,137.98313903808594,32.059059143066406
3306,345.5514389825049,3.6798175457630466,-36.566011175319915,139.20240783691406,32.05537033081055
3322,345.83002265841077,6.654674712536238,-36.04797649419367,139.20240783691406,32.05537033081055
3339,345.9069732596749,8.641201130377892,-35.425403508482425,139.20240783691406,32.05537033081055
3356,345.87505900447695,10.437434350234247,-34.492240641948726,140.56851196289062,32.05060577392578
3372,345.77069191557587,12.53747910292022,-32.73745956827699,140.56851196289062,32.05060577392578
3389,345.74396304072394,13.937030541232557,-31.32775258375897,141.64566040039062,32.042236328125
3406,345.7565968982985,15.08887346952142,-30.19327084174707,141.64566040039062,32.042236328125
3422,345.7167125596287,15.918154739235227,-29.495326942645693,141.64566040039062,32.042236328125
3439,345.51986220966603,16.082492301917807,-29.57295323825666,141.64566040039062,32.042236328125
3456,344.9585425004555,15.720957592322524,-29.940914849509582,141.64566040039062,32.042236328125
3472,344.0485613640904,13.927423830147479,-30.308591850245705,143.12445068359375,31.958913803100586
3492,343.318537581268,11.700662820025922,-30.59170670479136,143.12445068359375,31.958913803100586
3506,342.2123762433009,7.907012048041232,-31.23810976165941,143.12445068359375,31.958913803100586
3522,341.3275074828581,4.65115853990944,-32.197483661948645,143.12445068359375,31.958913803100586
3539,340.45675711072823,1.216727655492109,-33.52237978123639,143.12445068359375,31.958913803100586
3556,339.3307614377542,-3.52201882672476,-35.566215324622455,143.12445068359375,31.958913803100586
3572,338.47483790511376,-7.148032625202858,-37.11256110260424,143.12445068359375,31.958913803100586
3589,337.5684822928616,-10.763228038732588,-38.59801658352257,143.12445068359375,31.958913803100586
3606,336.24194740869683,-15.621924706878238,-40.639599133986614,141.6719970703125,31.9384765625
3622,335.1540559940015,-19.34228993294169,-42.36366524679745,141.6719970703125,31.9384765625
3639,333.95432732464474,-23.0798786134806,-44.334731698265145,141.6719970703125,31.9384765625
3656,332.05543211587934,-27.87132156433979,-47.16369259491895,139.81349182128906,31.93128776550293
3672,330.34285238821536,-31.103182909814116,-49.02532820417532,139.81349182128906,31.93128776550293
3689,328.44268894820647,-33.927788484086946,-50.47135877993278,138.69349670410156,31.92084503173828
3706,325.76653451999937,-37.217093190662126,-51.8900588883092,138.69349670410156,31.92084503173828
3722,323.7468394372351,-39.413650173737224,-52.832336534954614,138.69349670410156,31.92084503173828
3739,321.6930051067182,-41.432898807292084,-53.945571242650445,138.69349670410156,31.92084503173828
3755,318.59216607867444,-44.01842066782755,-56.04207231800799,140.19647216796875,31.891260147094727
3772,315.78929084003096,-45.86187750611138,-58.0714909536945,140.19647216796875,31.891260147094727
3789,312.61431159905663,-47.50941263401019,-60.30266456842521,141.9055633544922,31.85454750061035
3806,308.02660575999124,-49.35861576617607,-63.37951477048229,143.40733337402344,31.828678131103516
3824,304.5404373855487,-50.4564709512315,-65.67758773150837,143.40733337402344,31.828678131103516
3839,301.1625404814627,-51.28557249819264,-67.87689937801254,145.1739959716797,31.79663848876953
3856,296.8737791813919,-52.07795509342166,-70.55639331602374,147.04815673828125,31.758167266845703
3872,293.9334890979253,-52.49509228570849,-72.21505001286258,149.0369110107422,31.716066360473633
3889,291.3936014909075,-52.81011070715073,-73.46657092176348,151.02574157714844,31.67711639404297
3905,288.81552041238365,-53.19390214376346,-74.65337405480577,152.63719177246094,31.64426612854004
3922,287.66624617928744,-53.429509159779265,-75.18355624936153,152.63719177246094,31.64426612854004
3939,287.33205184280547,-53.577345381101395,-75.30754621553498,152.63719177246094,31.64426612854004
3956,288.0400582021518,-53.64146794740825,-74.8314584052629,152.63719177246094,31.64426612854004
3972,289.29937255565926,-53.51749287837064,-73.79917654513298,152.63719177246094,31.64426612854004
3989,291.14155558519155,-53.12539646277652,-72.04010341542309,152.63719177246094,31.64426612854004
4005,294.3762989199898,-52.20083174582099,-68.82718725946818,152.63719177246094,31.64426612854004
4023,297.3248492278192,-51.34639970224285,-66.06654335296341,152.63719177246094,31.64426612854004
4039,300.7555717960318,-50.474103780272216,-63.303294228724035,151.50399780273438,31.501611709594727
4055,306.2151213719196,-49.2252235168667,-60.02746076134029,149.83834838867188,31.48052406311035
4072,310.8437234040876,-47.945037068701055,-57.901675991731054,146.8342742919922,31.457199096679688
4089,315.4868898384609,-46.15582516060351,-56.01291709496868,143.32305908203125,31.424549102783203
4106,320.9229475553257,-42.99831253822488,-53.80303802903686,140.52066040039062,31.340429306030273
4122,324.137333856782,-40.32211672628578,-52.27269945487687,138.97813415527344,31.146785736083984
4139,326.7444233294206,-37.62881319959998,-50.92686514618196,138.97813415527344,31.146785736083984
4156,329.84745009908136,-33.90086164306879,-49.51948626166482,138.97813415527344,31.146785736083984
4173,332.090924189443,-30.95595411840752,-48.88414883689812,137.50375366210938,31.102935791015625
4189,334.27500081918214,-27.900623566214986,-48.626090429795525,137.50375366210938,31.102935791015625
4206,337.0312234033445,-23.70224120135092,-48.75095673505442,135.8355712890625,31.08238410949707
4222,338.90698860094653,-20.549705341044806,-49.057126138891135,135.8355712890625,31.08238410949707
4239,340.55650676034116,-17.492958503298603,-49.40412546426567,135.8355712890625,31.08238410949707
4255,342.41197317703404,-13.611442007053455,-49.76787892702231,134.83311462402344,31.068157196044922
4272,343.57939723930355,-10.820609357479693,-49.95222456622829,134.83311462402344,31.068157196044922
4289,344.58536699915885,-8.128564707006806,-50.028885401234625,134.83311462402344,31.068157196044922
4305,345.71976989527764,-4.684815300168822,-49.95418011336951,134.83311462402344,31.068157196044922
