ts(msec),PPG
1698414997158.2378,21741.0
1698414997178.6667,21749.0
1698414997199.0957,21750.0
1698414997219.5242,21751.0
1698414997239.9531,21758.0
1698414997260.3818,21756.0
1698414997280.8103,21759.0
1698414997301.2395,21752.0
1698414997321.6682,21757.0
1698414997342.097,21750.0
1698414997362.526,21747.0
1698414997382.9546,21745.0
1698414997403.3833,21745.0
1698414997423.812,21740.0
1698414997444.241,21743.0
1698414997464.6697,21741.0
1698414997485.0984,21735.0
1698414997505.527,21735.0
1698414997525.956,21735.0
1698414997546.3848,21736.0
1698414997566.8137,21743.0
1698414997587.2424,21738.0
1698414997607.6711,21740.0
1698414997628.1,21741.0
1698414997648.5288,21740.0
1698414997668.9575,21752.0
1698414997689.3865,21751.0
1698414997709.8152,21751.0
1698414997730.244,21751.0
1698414997750.6726,21753.0
1698414997771.1016,21750.0
1698414997791.5305,21757.0
1698414997811.959,21752.0
1698414997832.388,21753.0
1698414997852.817,21749.0
1698414997873.2454,21748.0
1698414997893.6743,21749.0
1698414997914.103,21753.0
1698414997934.5315,21742.0
1698414997954.9607,21733.0
1698414997975.3894,21736.0
1698414997995.818,21736.0
1698414998016.247,21738.0
1698414998036.6758,21740.0
1698414998057.1045,21748.0
1698414998077.5334,21757.0
1698414998097.9622,21758.0
1698414998118.3909,21779.0
1698414998138.8196,21782.0
1698414998159.2483,21785.0
1698414998179.6772,21790.0
1698414998200.106,21796.0
1698414998220.535,21797.0
1698414998240.9636,21801.0
1698414998261.3923,21801.0
1698414998281.8213,21803.0
1698414998302.25,21803.0
1698414998322.6787,21806.0
1698414998343.1077,21803.0
1698414998363.5364,21800.0
1698414998383.965,21797.0
1698414998404.394,21800.0
1698414998424.8228,21800.0
1698414998445.2517,21799.0
1698414998465.6804,21799.0
1698414998486.1091,21796.0
1698414998506.5378,21788.0
1698414998526.9666,21788.0
1698414998547.3955,21793.0
1698414998567.8242,21795.0
1698414998588.253,21796.0
1698414998608.682,21798.0
1698414998629.1106,21794.0
1698414998649.5393,21788.0
1698414998669.9685,21788.0
1698414998690.397,21790.0
1698414998710.8257,21780.0
1698414998731.2546,21775.0
1698414998751.683,21775.0
1698414998772.112,21777.0
1698414998792.541,21781.0
1698414998812.9695,21769.0
1698414998833.3984,21775.0
1698414998853.8274,21770.0
1698414998874.256,21768.0
1698414998894.6848,21774.0
1698414998915.1135,21779.0
1698414998935.5425,21787.0
1698414998955.9712,21781.0
1698414998976.4,21787.0
1698414998996.8289,21779.0
1698414999017.2576,21780.0
1698414999037.6863,21776.0
1698414999058.1152,21768.0
1698414999078.544,21769.0
1698414999098.973,21769.0
1698414999119.4016,21773.0
1698414999139.8303,21763.0
1698414999160.259,21770.0
1698414999180.688,21765.0
1698414999201.1167,21760.0
1698414999221.5454,21771.0
1698414999241.974,21764.0
1698414999262.403,21771.0
1698414999282.8318,21765.0
1698414999303.2605,21769.0
1698414999323.6897,21767.0
1698414999344.1182,21764.0
1698414999364.5469,21766.0
1698414999384.9758,21768.0
1698414999405.4043,21772.0
1698414999425.8333,21769.0
1698414999446.2622,21764.0
1698414999466.691,21765.0
1698414999487.1196,21776.0
1698414999507.5486,21763.0
1698414999527.9773,21777.0
1698414999548.406,21774.0
1698414999568.835,21775.0
1698414999589.2637,21784.0
1698414999609.6924,21779.0
1698414999630.121,21786.0
1698414999650.55,21785.0
1698414999670.9788,21785.0
1698414999691.4077,21790.0
1698414999711.8364,21791.0
1698414999732.2651,21791.0
1698414999752.6938,21793.0
1698414999773.1228,21792.0
1698414999793.5515,21795.0
1698414999813.9802,21791.0
1698414999834.4092,21793.0
1698414999854.838,21791.0
1698414999875.2666,21783.0
1698414999895.6956,21784.0
1698414999916.1245,21784.0
1698414999936.553,21791.0
1698414999956.982,21810.0
1698414999977.4106,21817.0
1698414999997.8394,21820.0
1698415000018.268,21819.0
1698415000038.697,21811.0
1698415000059.1255,21815.0
1698415000079.5544,21810.0
1698415000099.9834,21811.0
1698415000120.412,21806.0
1698415000140.8408,21803.0
1698415000161.2698,21792.0
1698415000181.6985,21781.0
1698415000202.1272,21771.0
1698415000222.5562,21769.0
1698415000242.9849,21780.0
1698415000263.4136,21797.0
1698415000283.8423,21810.0
1698415000304.2712,21817.0
1698415000324.7,21812.0
1698415000345.129,21801.0
1698415000365.5576,21804.0
1698415000385.9863,21807.0
1698415000406.415,21814.0
1698415000426.844,21817.0
1698415000447.2727,21816.0
1698415000467.7014,21818.0
1698415000488.1304,21800.0
1698415000508.559,21794.0
1698415000528.9878,21777.0
1698415000549.4167,21785.0
1698415000569.8457,21781.0
1698415000590.2742,21784.0
1698415000610.7031,21779.0
1698415000631.1318,21776.0
1698415000651.5603,21768.0
1698415000671.9895,21762.0
1698415000692.4182,21762.0
1698415000712.847,21757.0
1698415000733.276,21754.0
1698415000753.7046,21753.0
1698415000774.1333,21740.0
1698415000794.562,21742.0
1698415000814.991,21737.0
1698415000835.4197,21734.0
1698415000855.8484,21723.0
1698415000876.277,21719.0
1698415000896.706,21710.0
1698415000917.1348,21704.0
1698415000937.5637,21697.0
1698415000957.9924,21696.0
1698415000978.4211,21693.0
1698415000998.85,21699.0
1698415001019.2788,21695.0
1698415001039.7075,21687.0
1698415001060.1365,21679.0
1698415001080.5652,21668.0
1698415001100.994,21661.0
1698415001121.4226,21651.0
1698415001141.8516,21648.0
1698415001162.2805,21649.0
1698415001182.709,21646.0
1698415001203.138,21642.0
1698415001223.567,21647.0
1698415001243.9954,21650.0
1698415001264.4243,21649.0
1698415001284.853,21640.0
1698415001305.2815,21634.0
1698415001325.7107,21627.0
